type,title,release_year,date_added
Movie,"Prelude to War",1942,"2017-03-31 00:00:00"
Movie,"The Battle of Midway",1942,"2017-03-31 00:00:00"
Movie,"Undercover: How to Operate Behind Enemy Lines",1943,"2017-03-31 00:00:00"
Movie,"Why We Fight: The Battle of Russia",1943,"2017-03-31 00:00:00"
Movie,"WWII: Report from the Aleutians",1943,"2017-03-31 00:00:00"
Movie,"The Memphis Belle: A Story of a
Flying Fortress",1944,"2017-03-31 00:00:00"
Movie,"The Negro Soldier",1944,"2017-03-31 00:00:00"
Movie,"Tunisian Victory",1944,"2017-03-31 00:00:00"
Movie,"Know Your Enemy - Japan",1945,"2017-03-31 00:00:00"
Movie,"Nazi Concentration Camps",1945,"2017-03-31 00:00:00"
Movie,"San Pietro",1945,"2017-03-31 00:00:00"
Movie,"Let There Be Light",1946,"2017-03-31 00:00:00"
Movie,Thunderbolt,1947,"2017-03-31 00:00:00"
Movie,"White Christmas",1954,"2020-11-15 00:00:00"
Movie,"The Blazing Sun",1954,"2020-06-18 00:00:00"
Movie,"Rebel Without a Cause",1955,"2019-11-01 00:00:00"
Movie,"Scandal in Sorrento",1955,"2020-11-13 00:00:00"
Movie,"The Sign of Venus",1955,"2020-11-13 00:00:00"
Movie,"Dark Waters",1956,"2020-06-18 00:00:00"
Movie,"Forbidden Planet",1956,"2019-11-01 00:00:00"
Movie,"Cairo Station",1958,"2020-06-18 00:00:00"
Movie,"Cat on a Hot Tin Roof",1958,"2019-11-01 00:00:00"
Movie,Gigi,1958,"2019-11-01 00:00:00"
Movie,Ujala,1959,"2021-07-06 00:00:00"
Movie,Singapore,1960,"2017-10-15 00:00:00"
Movie,"Butterfield 8",1960,"2019-11-01 00:00:00"
Movie,"Jis Desh Men Ganga Behti Hai",1960,"2019-12-31 00:00:00"
Movie,"Ocean's Eleven",1960,"2019-11-01 00:00:00"
Movie,"The Guns of Navarone",1961,"2021-09-01 00:00:00"
Movie,Professor,1962,"2017-07-01 00:00:00"
Movie,Lolita,1962,"2019-11-01 00:00:00"
Movie,"Mutiny on the Bounty",1962,"2019-11-01 00:00:00"
Movie,Saladin,1963,"2020-06-18 00:00:00"
Movie,"My Fair Lady",1964,"2021-04-01 00:00:00"
Movie,Sangam,1964,"2019-12-31 00:00:00"
Movie,"Doctor Zhivago",1965,"2019-11-01 00:00:00"
Movie,"The Cincinnati Kid",1965,"2019-11-01 00:00:00"
Movie,Amrapali,1966,"2017-07-01 00:00:00"
Movie,"Bonnie and Clyde",1967,"2021-01-01 00:00:00"
Movie,"Cool Hand Luke",1967,"2021-01-01 00:00:00"
Movie,"Westerplatte Resists",1967,"2019-10-01 00:00:00"
Movie,"Who's That Knocking at My Door?",1967,"2019-07-01 00:00:00"
Movie,"Chitty Chitty Bang Bang",1968,"2020-01-01 00:00:00"
Movie,"Once Upon a Time in the West",1968,"2019-11-20 00:00:00"
Movie,"Rosemary's Baby",1968,"2019-11-01 00:00:00"
Movie,Prince,1969,"2017-06-01 00:00:00"
Movie,"True Grit",1969,"2020-01-01 00:00:00"
Movie,"The Land",1970,"2020-06-18 00:00:00"
Movie,"The Cruise",1970,"2019-10-01 00:00:00"
Movie,"Lal Patthar",1971,"2017-07-01 00:00:00"
Movie,Elaan,1971,"2017-04-01 00:00:00"
Movie,"A Clockwork Orange",1971,"2020-11-01 00:00:00"
Movie,"Fiddler on the Roof",1971,"2020-07-01 00:00:00"
Movie,"Willy Wonka & the Chocolate Factory",1971,"2020-01-01 00:00:00"
Movie,FTA,1972,"2021-06-15 00:00:00"
Movie,Bawarchi,1972,"2019-12-31 00:00:00"
Movie,Koshish,1972,"2019-12-31 00:00:00"
Movie,Superfly,1972,"2019-11-01 00:00:00"
Movie,"The School of Mischief",1973,"2020-05-21 00:00:00"
Movie,"Khoon Khoon",1973,"2017-09-01 00:00:00"
Movie,Bobby,1973,"2019-12-31 00:00:00"
Movie,"Charlotte's Web",1973,"2019-11-23 00:00:00"
Movie,"Cleopatra Jones",1973,"2019-11-01 00:00:00"
Movie,"Enter the Dragon",1973,"2021-01-01 00:00:00"
Movie,"Jealousy and medicine",1973,"2019-10-01 00:00:00"
Movie,"Jimi Hendrix",1973,"2019-11-01 00:00:00"
Movie,"Mean Streets",1973,"2019-07-01 00:00:00"
Movie,"Young Tiger",1973,"2016-11-01 00:00:00"
Movie,Manoranjan,1974,"2017-09-01 00:00:00"
Movie,"Alice Doesn't Live Here Anymore",1974,"2019-07-01 00:00:00"
Movie,"Immoral Tales",1974,"2019-06-06 00:00:00"
Movie,Rajnigandha,1974,"2019-12-31 00:00:00"
Movie,"The Longest Yard",1974,"2019-11-20 00:00:00"
Movie,"The Texas Chainsaw Massacre",1974,"2019-10-22 00:00:00"
Movie,Jaws,1975,"2021-09-16 00:00:00"
Movie,"Beirut Oh Beirut",1975,"2020-10-19 00:00:00"
Movie,"Monty Python and the Holy Grail",1975,"2019-01-02 00:00:00"
Movie,Salaakhen,1975,"2017-04-01 00:00:00"
Movie,"Chupke Chupke",1975,"2019-12-31 00:00:00"
Movie,"Hotel Pacific",1975,"2019-10-01 00:00:00"
Movie,"The Flying Guillotine",1975,"2018-07-28 00:00:00"
Movie,"Return of the Prodigal Son",1976,"2021-07-06 00:00:00"
Movie,"The Outlaw Josey Wales",1976,"2021-06-02 00:00:00"
Movie,"The Witness Who Didn't See Anything",1976,"2020-05-21 00:00:00"
Movie,"Chadi Jawani Budhe Nu",1976,"2017-09-01 00:00:00"
Movie,Carrie,1976,"2019-06-01 00:00:00"
Movie,"Hera Pheri",1976,"2019-12-31 00:00:00"
Movie,"Logan's Run",1976,"2019-11-01 00:00:00"
Movie,Rocky,1976,"2019-08-01 00:00:00"
Movie,Sparkle,1976,"2019-11-01 00:00:00"
Movie,"Hitler - A Career",1977,"2017-02-10 00:00:00"
Movie,"A Bridge Too Far",1977,"2020-07-01 00:00:00"
Movie,"Amar Akbar Anthony",1977,"2019-12-31 00:00:00"
Movie,"For the Love of Benji",1977,"2018-03-06 00:00:00"
Movie,Swami,1977,"2019-12-31 00:00:00"
Movie,"The Car",1977,"2020-06-01 00:00:00"
Movie,"Jaws 2",1978,"2021-09-16 00:00:00"
Movie,Bandie,1978,"2017-11-01 00:00:00"
Movie,"Benji's Very Own Christmas Story",1978,"2018-10-03 00:00:00"
Movie,"Flying Guillotine 2",1978,"2018-07-31 00:00:00"
Movie,Grease,1978,"2019-11-01 00:00:00"
Movie,"The Five Venoms",1978,"2018-07-31 00:00:00"
Movie,"The spiral",1978,"2019-10-01 00:00:00"
Movie,"We Are All For The Fatherland",1979,"2020-11-11 00:00:00"
Movie,"Alexandria ... Why?",1979,"2020-06-18 00:00:00"
Movie,"No Longer kids",1979,"2020-05-21 00:00:00"
Movie,"Monty Python's Life of Brian",1979,"2018-10-02 00:00:00"
Movie,"Lupin the 3rd: The Castle of Cagliostro: Special Edition",1979,"2018-05-15 00:00:00"
Movie,"Richard Pryor: Live in Concert",1979,"2016-12-01 00:00:00"
Movie,"Gol Maal",1979,"2019-12-31 00:00:00"
Movie,"Mad Max",1979,"2020-08-01 00:00:00"
Movie,"Rocky II",1979,"2019-08-01 00:00:00"
Movie,"The Great Gambler",1979,"2019-12-31 00:00:00"
Movie,"The Blue Lagoon",1980,"2021-09-01 00:00:00"
Movie,"The Long Riders",1980,"2021-07-01 00:00:00"
Movie,Whispers,1980,"2020-10-19 00:00:00"
Movie,Friendship,1980,"2020-04-01 00:00:00"
Movie,"Alibaba Aur 40 Chor",1980,"2018-01-15 00:00:00"
Movie,Khubsoorat,1980,"2019-12-31 00:00:00"
Movie,"Playing for Time",1980,"2017-12-01 00:00:00"
Movie,Popeye,1980,"2019-11-24 00:00:00"
Movie,"Raging Bull",1980,"2019-10-01 00:00:00"
Movie,"Return To The 36th Chamber",1980,"2018-08-16 00:00:00"
Movie,"Sword Masters: Two Champions of Shaolin",1980,"2018-08-16 00:00:00"
Movie,"Mobile Suit Gundam II: Soldiers of Sorrow",1981,"2021-06-19 00:00:00"
Movie,"Mobile Suit Gundam I",1981,"2021-06-18 00:00:00"
Movie,"The Four Seasons",1981,"2021-06-02 00:00:00"
Movie,"Zoot Suit",1981,"2021-04-15 00:00:00"
Movie,"Bye Bye London",1981,"2020-05-21 00:00:00"
Movie,"The Married Couples",1981,"2020-05-21 00:00:00"
Movie,"Indiana Jones and the Raiders of the Lost Ark",1981,"2019-01-01 00:00:00"
Movie,Kaalia,1981,"2019-12-31 00:00:00"
Movie,"Mahjong Heroes",1981,"2018-08-16 00:00:00"
Movie,Stripes,1981,"2019-09-01 00:00:00"
Movie,"The Evil Dead",1981,"2020-01-10 00:00:00"
Movie,"Winter of Our Dreams",1981,"2016-11-01 00:00:00"
Movie,"Blade Runner: The Final Cut",1982,"2021-09-01 00:00:00"
Movie,"Mobile Suit Gundam III: Encounters in Space",1982,"2021-06-19 00:00:00"
Movie,"The Little Wars",1982,"2020-10-19 00:00:00"
Movie,"Disco Dancer",1982,"2020-10-12 00:00:00"
Movie,"An Egyptian Story",1982,"2020-06-18 00:00:00"
Movie,"Lock Your Girls In",1982,"2020-05-21 00:00:00"
Movie,"Monty Python: Live at The Hollywood Bowl",1982,"2018-10-02 00:00:00"
Movie,Bazaar,1982,"2019-12-31 00:00:00"
Movie,"Five Elements Ninjas",1982,"2019-09-17 00:00:00"
Movie,Katha,1982,"2019-12-31 00:00:00"
Movie,"Legendary Weapons of China",1982,"2018-08-16 00:00:00"
Movie,"Namak Halaal",1982,"2019-12-31 00:00:00"
Movie,"Rocky III",1982,"2019-08-01 00:00:00"
Movie,"Saath Saath",1982,"2019-12-31 00:00:00"
Movie,"Satte Pe Satta",1982,"2019-12-31 00:00:00"
Movie,"The Dark Crystal",1982,"2019-05-01 00:00:00"
Movie,"The lynx",1982,"2019-10-01 00:00:00"
Movie,"Jaws 3",1983,"2021-09-16 00:00:00"
Movie,"Cheech & Chong's Still Smokin",1983,"2021-07-15 00:00:00"
Movie,"Ek Jaan Hain Hum",1983,"2017-09-01 00:00:00"
Movie,"Eddie Murphy: Delirious",1983,"2018-04-15 00:00:00"
Movie,"Little Dragon Maiden",1983,"2018-08-01 00:00:00"
Movie,Mandi,1983,"2020-01-01 00:00:00"
Movie,Masoom,1983,"2019-12-31 00:00:00"
Movie,"On the Wrong Track",1983,"2018-08-02 00:00:00"
Movie,Sadma,1983,"2019-12-31 00:00:00"
Movie,"The Bund",1983,"2018-09-20 00:00:00"
Movie,"Weather forecast",1983,"2019-10-01 00:00:00"
Movie,"Once Upon a Time in America",1984,"2021-09-01 00:00:00"
Movie,"The Karate Kid",1984,"2021-07-01 00:00:00"
Movie,"Streets of Fire",1984,"2021-06-02 00:00:00"
Movie,"Raya and Sakina",1984,"2020-05-21 00:00:00"
Movie,Duniya,1984,"2020-04-01 00:00:00"
Movie,"Sohni Mahiwal",1984,"2017-09-01 00:00:00"
Movie,"Indiana Jones and the Temple of Doom",1984,"2019-01-01 00:00:00"
Movie,"Mr. Virgin",1984,"2018-08-16 00:00:00"
Movie,"Opium and the Kung Fu Master",1984,"2018-08-16 00:00:00"
Movie,"Prince Charming",1984,"2018-08-31 00:00:00"
Movie,"Red Dawn",1984,"2019-12-31 00:00:00"
Movie,"The Natural",1984,"2020-01-01 00:00:00"
Movie,"Esperando la carroza",1985,"2021-08-05 00:00:00"
Movie,"Sayed the Servant",1985,"2020-05-21 00:00:00"
Movie,"Disciples Of The 36th Chamber",1985,"2018-08-16 00:00:00"
Movie,"Esperando La Carroza",1985,"2018-07-15 00:00:00"
Movie,Medium,1985,"2019-10-01 00:00:00"
Movie,"Ram Teri Ganga Maili",1985,"2019-12-31 00:00:00"
Movie,"Rocky IV",1985,"2019-08-01 00:00:00"
Movie,"The Young Vagabond",1985,"2018-08-16 00:00:00"
Movie,"Trikal (Past, Present, Future)",1985,"2019-12-31 00:00:00"
Movie,Labyrinth,1986,"2021-09-01 00:00:00"
Movie,"The Golden Child",1986,"2021-09-01 00:00:00"
Movie,"Ferris Bueller's Day Off",1986,"2021-08-01 00:00:00"
Movie,"The Karate Kid Part II",1986,"2021-07-01 00:00:00"
Movie,"Pyar Ke Do Pal",1986,"2018-01-15 00:00:00"
Movie,Jaal,1986,"2017-12-08 00:00:00"
Movie,"Adam: His Song Continues",1986,"2011-10-01 00:00:00"
Movie,"Hard Lessons",1986,"2011-10-01 00:00:00"
Movie,"An American Tail",1986,"2018-04-01 00:00:00"
Movie,"Martial Arts of Shaolin",1986,"2018-08-16 00:00:00"
Movie,Platoon,1986,"2020-11-01 00:00:00"
Movie,"Jaws: The Revenge",1987,"2021-09-16 00:00:00"
Movie,"Eddie Murphy: Raw",1987,"2021-01-01 00:00:00"
Movie,"Muqaddar ka Faisla",1987,"2020-04-01 00:00:00"
Movie,"Sam Kinison: Breaking the Rules",1987,"2018-12-31 00:00:00"
Movie,"Strange Voices",1987,"2011-10-01 00:00:00"
Movie,"Hamburger Hill",1987,"2019-11-23 00:00:00"
Movie,"La Bamba",1987,"2020-01-01 00:00:00"
Movie,"Mad Ron's Prevues from Hell",1987,"2010-11-01 00:00:00"
Movie,"Midnight Run",1988,"2021-07-01 00:00:00"
Movie,"Mobile Suit Gundam: Char's Counterattack",1988,"2021-06-19 00:00:00"
Movie,"Rain Man",1988,"2021-03-01 00:00:00"
Movie,"Mystic Pizza",1988,"2021-01-01 00:00:00"
Movie,"Aakhri Adaalat",1988,"2017-09-01 00:00:00"
Movie,"A Stoning in Fulham County",1988,"2011-10-01 00:00:00"
Movie,"Quiet Victory: The Charlie Wedemeyer Story",1988,"2011-10-01 00:00:00"
Movie,"Too Young the Hero",1988,"2011-10-01 00:00:00"
Movie,"Child's Play",1988,"2019-12-31 00:00:00"
Movie,"Killer Klowns from Outer Space",1988,"2020-04-01 00:00:00"
Movie,"Maza Pati Karodpati",1988,"2018-01-01 00:00:00"
Movie,"Painted Faces",1988,"2018-08-16 00:00:00"
Movie,"Pee-wee's Playhouse: Christmas Special",1988,"2014-12-18 00:00:00"
Movie,"School Daze",1988,"2020-11-01 00:00:00"
Movie,"The Naked Gun: From the Files of Police Squad!",1988,"2021-01-01 00:00:00"
Movie,"Thelonious Monk: Straight, No Chaser",1988,"2019-11-01 00:00:00"
Movie,"Do the Right Thing",1989,"2021-09-01 00:00:00"
Movie,"The Karate Kid Part III",1989,"2021-07-01 00:00:00"
Movie,"Best of the Best",1989,"2021-05-01 00:00:00"
Movie,"Little Monsters",1989,"2020-11-01 00:00:00"
Movie,"Alexandria: Again and Forever",1989,"2020-06-18 00:00:00"
Movie,"Bill Hicks: Sane Man",1989,"2018-12-31 00:00:00"
Movie,"Parrot Sketch Not Included: Twenty Years of Monty Python",1989,"2018-10-02 00:00:00"
Movie,Mujrim,1989,"2017-09-01 00:00:00"
Movie,"The Ryan White Story",1989,"2011-10-01 00:00:00"
Movie,"300 Miles to Heaven",1989,"2019-10-01 00:00:00"
Movie,"All Dogs Go to Heaven",1989,"2020-06-01 00:00:00"
Movie,Dad,1989,"2018-04-01 00:00:00"
Movie,"Doubles Cause Troubles",1989,"2018-08-01 00:00:00"
Movie,"Indiana Jones and the Last Crusade",1989,"2019-01-01 00:00:00"
Movie,"Maine Pyar Kiya",1989,"2018-01-01 00:00:00"
